2025-11-12T00:00:44.451+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-1] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:00:47.357+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-3] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=1 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:00:47.807+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-5] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=2 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:00:49.852+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-7] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=asc , afterDate=null 
2025-11-12T00:00:52.977+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-10] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=reminderTime , direction=asc , afterDate=null 
2025-11-12T00:02:33.429+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-2] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=reminderTime , direction=desc , afterDate=null 
2025-11-12T00:06:55.960+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-4] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=title , direction=desc , afterDate=null 
2025-11-12T00:06:58.233+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-5] c.e.reminder.controller.AdminController  : Get /api/events/paged -> page=0 , size=2 , sortBy=title , direction=asc , afterDate=null 
2025-11-12T00:07:32.343+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-10] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:07:36.990+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-9] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:07:38.918+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-2] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:07:40.069+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-3] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:11:10.123+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-6] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=id , direction=asc , afterDate=null 
2025-11-12T00:11:42.756+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-8] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=title , direction=asc , afterDate=null 
2025-11-12T00:11:46.040+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-9] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=title , direction=desc , afterDate=null 
2025-11-12T00:11:51.469+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-2] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:11:58.234+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-4] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:11:59.174+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-6] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:12:01.541+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-7] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=asc , afterDate=null 
2025-11-12T00:12:05.148+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-10] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=eventDate , direction=asc , afterDate=null 
2025-11-12T00:12:07.946+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-1] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:12:13.340+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-3] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:12:15.255+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-5] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=1 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
2025-11-12T00:12:17.957+01:00  INFO 5348 --- [reminder] [http-nio-9090-exec-6] c.e.reminder.controller.EventController  : Get /api/events/paged -> page=0 , size=2 , sortBy=eventDate , direction=desc , afterDate=null 
